CustomerID,Lookalikes,Scores
C0001,"['C0137', 'C0152', 'C0056']","[0.999567362853379, 0.9976828713249932, 0.9939465070361473]"
C0002,"['C0029', 'C0199', 'C0010']","[0.9998164613385201, 0.9994902392200663, 0.9993855771185838]"
C0003,"['C0095', 'C0150', 'C0144']","[0.9999989538238129, 0.9999900049519272, 0.999981447028915]"
C0004,"['C0067', 'C0021', 'C0075']","[0.9999925612108973, 0.9998655690130588, 0.999625100734789]"
C0005,"['C0130', 'C0144', 'C0150']","[0.9999953849248338, 0.9999873569686522, 0.9999778956667101]"
C0006,"['C0079', 'C0117', 'C0196']","[0.9998805962028247, 0.9893342566876119, 0.945939603614914]"
C0007,"['C0092', 'C0193', 'C0085']","[0.999998129945819, 0.9999679390437886, 0.9999627719734157]"
C0008,"['C0179', 'C0194', 'C0154']","[0.9994598484521651, 0.998855319033354, 0.9958263342887144]"
C0009,"['C0077', 'C0142', 'C0192']","[0.9999459397976959, 0.9996405637746608, 0.9995102963044927]"
C0010,"['C0029', 'C0025', 'C0002']","[0.9998736431878393, 0.9996306569929816, 0.9993855771185838]"
C0011,"['C0183', 'C0048', 'C0016']","[0.9996894719285149, 0.9996869158827244, 0.9996034119957732]"
C0012,"['C0102', 'C0136', 'C0065']","[0.999998902089237, 0.9997370974351616, 0.9995914692166582]"
C0013,"['C0045', 'C0143', 'C0153']","[0.9999927474922717, 0.9999691684054363, 0.9999528963514228]"
C0014,"['C0036', 'C0132', 'C0015']","[0.9999986627404106, 0.9999504604160394, 0.9999272428280314]"
C0015,"['C0058', 'C0197', 'C0131']","[0.9999999236801441, 0.9999969740774369, 0.9999726902326072]"
C0016,"['C0048', 'C0183', 'C0064']","[0.9999950692469755, 0.9999947425550536, 0.9998900002747239]"
C0017,"['C0162', 'C0113', 'C0093']","[0.9998835519176713, 0.9998318530678927, 0.9996748131087412]"
C0018,"['C0200', 'C0170', 'C0182']","[0.9999999588643381, 0.999998670606392, 0.99999780787016]"
C0019,"['C0172', 'C0116', 'C0034']","[0.9999840132068634, 0.9586653499370068, 0.8503797703779737]"
C0020,"['C0110', 'C0078', 'C0080']","[0.9999928650224725, 0.9999023168980014, 0.9998671636734605]"
